"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 0 24 104 19 1 0 0 46 23 0 854 0 52 0 3 9 0 0 0 463 0 0 0 0 12 43 30 0 2 0 5 2 84 111 0 0 0 0 6 3 36 0 707 11 28 116 28 199 0 38
"s2" 111 6 18 0 0 8 11 133 10 6 192 2 71 61 0 25 1 0 4 95 32 0 0 101 0 472 10 3728 2 0 7 21 57 23 0 5 0 0 0 0 12 0 776 996 24 51 3 66 0 6
"s3" 9 0 0 256 0 105 0 5 3290 0 16 3 132 214 0 137 0 0 13 0 24 13 207 0 0 4 33 0 544 1556 222 0 2734 25 0 0 42 354 6 341 3 3 0 60 0 202 916 0 8 0
"s4" 1441 0 0 72 6 56 0 4 698 0 9 0 34 51 170 35 0 19 0 0 4 5 44 0 329 17 10 0 99 282 29 0 510 2 269 1 188 61 4 72 0 13 54 155 2 553 216 9 0 0
"s5" 603 10 0 0 997 131 19 772 7 0 8 33 0 7 0 1303 4 34 394 2 68 1 0 0 109 5 0 19 0 0 65 0 0 0 12 0 0 0 12 80 18 0 0 86 0 132 0 6 0 3
"s6" 124 0 2 0 200 31 96 134 2 0 253 14 41 3 24 271 1 18 89 7 32 0 0 0 45 4 5 12 73 538 21 0 3 0 12 9 0 8 115 19 3 0 47 143 0 46 0 67 646 5
"s7" 711 0 4 0 19 0 1002 0 0 0 0 765 9 0 12 21 0 32 0 162 2 0 9 116 0 0 2 36 0 78 4 0 359 6 61 15 773 14 6 0 95 0 56 9 0 11 8 0 8 1
"s8" 174 11 2 79 6 176 222 17 0 0 0 131 11 11 2 70 0 39 0 37 1673 0 38 17 11 17 6 10 0 19 150 8 71 1 14 11 175 0 23 32 22 0 10 352 161 9 3 24 1796 0
"s9" 48 119 0 0 2 34 38 0 0 0 506 0 791 0 242 9 15 0 0 0 10 0 20 0 0 5 62 0 0 11 0 9 0 13 0 0 0 0 0 0 0 197 0 65 7 0 225 0 0 54
"s10" 0 0 11 0 0 2709 0 8 2 23 0 127 0 630 0 0 0 46 3302 0 0 0 0 6 20 0 0 55 6 178 0 0 11 0 158 0 0 57 455 0 0 247 0 0 0 8 0 12 0 130
"s11" 301 42 3 0 0 0 0 0 338 0 39 1094 20 3 3625 0 0 0 2 0 6 0 12 68 0 0 2211 5 0 3 152 0 94 0 490 224 21 2 0 0 32 1074 0 0 87 414 0 0 0 4
"s12" 0 62 0 0 0 15 0 0 3 150 8 0 0 29 0 183 0 1159 0 4 7 4 0 108 141 9 0 0 3626 22 0 0 0 5 0 0 0 0 0 1020 0 0 297 0 0 0 0 25 6 0
