"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 0 0 0 407 0 0 741 0 0 0 0 160 78 0 10 2 8 0 0 17 0 0 0 2 333 0 0 1064 0 0 242 6 7 0 27 0 0 0 0 0 0 11 2 9 0 0 0 0 13 0
"s2" 0 52 0 0 741 0 0 0 11 0 4 0 0 479 0 0 0 222 0 0 0 0 0 0 0 8 18 0 220 1494 0 0 0 57 0 1110 11 521 0 0 1771 0 0 92 1 4 128 1 0 0
"s3" 384 11 385 0 49 0 0 1 49 1 32 0 0 0 56 72 0 0 0 331 2338 0 0 0 0 0 0 8 0 0 0 14 25 0 1 0 305 0 0 0 93 40 14 209 497 0 0 3 0 0
"s4" 0 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 3 24 3 0 0 631 160 0 32 36 202 0 0 0 97 6 0 32 16 0 0 2181 0 101 0 0 0 0 0 0 1084 0 0 167
"s5" 0 0 105 0 0 22 0 448 29 5 0 27 20 0 102 497 0 0 662 0 0 0 585 0 0 0 0 0 0 0 0 6 0 0 7 19 0 16 0 0 0 32 0 0 0 427 0 3 0 28
"s6" 27 0 0 372 77 0 22 0 0 0 24 43 4 7 0 0 0 96 0 10 26 22 0 13 0 222 189 0 15 16 160 5 4 0 12 0 0 0 0 0 0 0 29 173 17 0 19 0 2 0
"s7" 0 1 14 0 0 0 0 0 0 0 0 0 4 0 0 32 13 0 0 0 6 18 610 4 128 0 0 0 122 0 0 0 42 0 0 0 174 0 0 0 0 2 0 0 0 0 192 0 0 132
"s8" 0 0 0 0 283 24 672 0 0 20 14 0 0 89 170 0 0 793 3 0 0 0 0 0 0 113 327 0 0 0 1508 37 0 26 19 50 0 16 0 143 49 0 0 0 0 0 0 3444 42 0
"s9" 171 125 199 249 37 2 55 13 475 0 20 607 16 20 100 30 2 51 284 0 22 70 9 9 4 131 78 0 0 5 14 0 225 106 6 35 451 68 1 1 0 4 174 1244 31 149 131 1 0 0
"s10" 131 96 423 500 18 3 18 6 917 0 11 334 44 4 154 62 2 48 603 8 27 68 4 17 2 89 41 0 0 2 16 0 99 268 8 16 199 82 0 3 5 5 83 591 14 62 194 9 5 0
"s11" 128 8 0 0 181 420 57 1732 20 11 506 13 2 0 0 0 2 46 0 0 0 595 7 31 0 855 24 5 55 74 417 2 412 16 21 0 324 125 0 0 194 0 64 0 0 0 106 1 3 18
"s12" 83 3 0 0 84 720 24 867 13 23 282 7 0 0 0 3 0 34 0 0 0 277 1 15 0 608 26 5 124 52 257 0 293 16 28 0 614 253 0 1 78 0 30 5 1 0 51 6 3 13
"s13" 43 1028 0 146 27 53 66 0 0 2366 0 30 211 1 32 27 0 14 45 0 272 81 5 29 14 15 119 177 324 0 14 0 732 13 0 12 22 25 0 17 675 10 6 14 0 1 14 1 554 17
"s14" 24 563 11 277 38 128 47 0 0 1092 0 48 151 1 23 25 0 30 86 0 470 154 12 14 20 6 43 370 163 0 0 0 1424 25 0 6 7 10 0 11 380 3 2 14 1 1 0 8 1234 14
"s15" 0 0 13 58 431 0 251 0 255 5 0 155 0 3 243 2 50 151 7 0 19 638 10 0 179 90 125 8 1235 3 72 806 0 839 19 893 229 34 0 5 0 41 14 341 0 1 19 0 0 583
"s16" 0 0 9 67 892 0 520 6 120 2 0 88 0 5 447 4 33 67 8 0 40 655 4 1 373 94 198 13 689 8 106 383 0 446 74 1080 463 15 4 14 0 80 4 188 0 0 18 0 0 974
"s17" 133 4 9 0 0 0 90 0 104 1 0 20 0 2 0 0 2227 0 0 0 9 0 85 550 10 9 0 0 0 12 65 1418 0 116 32 32 0 30 1 2 0 15 2 0 0 0 0 2 11 110
"s18" 54 168 13 0 0 9 37 0 310 2 9 13 0 1 12 9 1069 9 0 0 20 0 63 298 22 49 32 482 42 4 33 732 175 65 30 28 0 28 0 34 0 6 7 76 279 6 0 0 587 112
"s19" 0 35 22 0 0 20 0 6 6 0 548 380 6 1 0 144 0 0 0 108 0 0 0 2 21 0 72 0 0 144 21 0 2 13 5 14 3 0 1 64 10 24 0 0 0 1853 17 0 0 0
"s20" 90 272 8 12 23 271 16 256 0 1 362 171 3 42 14 60 0 0 0 83 15 0 5 11 13 35 62 0 0 77 19 0 0 14 1 0 6 34 1 36 58 12 102 0 2 963 17 25 49 0
"s21" 0 4 0 0 21 3 0 103 0 0 412 43 1908 119 0 0 57 119 1 66 0 67 0 76 16 43 135 0 0 5 36 0 0 0 5 0 43 8 0 232 3 543 480 23 0 0 15 0 0 200
"s22" 36 1 12 24 24 1 45 85 5 5 214 26 945 58 0 0 27 292 1 90 45 117 0 36 1170 981 74 0 16 11 126 0 0 46 3 0 25 5 0 2417 127 2719 236 17 4 0 490 1 1 142
"s23" 8 57 0 38 99 0 364 2 0 0 34 0 5 0 136 0 5 989 0 82 10 0 111 2 63 0 339 1 0 0 0 12 0 25 3 29 0 0 0 1 0 0 0 10 1 37 17 1 4 0
"s24" 0 38 1104 963 35 0 198 32 0 2 19 15 10 2547 333 15 2 527 21 231 13 0 453 2357 110 10 194 1 13 3 35 7 6 75 3186 13 0 0 3543 0 0 0 70 10 8 19 16 1 14 28
"s25" 2213 0 0 282 0 816 0 0 1200 17 993 45 0 180 0 18 40 8 12 227 9 0 10 83 0 4 0 351 120 9 0 17 0 14 0 70 25 3 0 0 0 13 2 69 785 8 0 17 0 0
"s26" 0 603 0 0 21 0 231 0 0 0 0 1206 33 0 0 18 0 0 48 0 70 53 46 0 0 43 0 0 0 0 0 0 0 0 19 0 0 3 0 155 0 0 0 0 0 0 188 0 908 754
"s27" 0 0 339 104 146 0 7 0 5 0 49 9 30 0 0 0 3 31 1603 11 0 0 0 5 0 4 30 1 0 0 0 0 0 58 0 77 294 0 0 17 0 0 1 0 0 0 549 20 0 0
"s28" 35 0 0 0 103 26 0 0 0 3 0 0 0 0 0 3 9 0 0 11 25 0 1338 2 0 0 61 0 0 1538 14 45 0 1267 3 8 0 83 0 74 0 0 2181 0 0 29 0 0 0 41
